Rank2018,Airport,City served,Country,Passengers2018,Passengers2017,Change 2018-2017-Num,Change 2018-2017-%
1,Heathrow Airport,London,United Kingdom,80124537,78012825,2111712,"%2,71"
2,Charles de Gaulle Airport,Paris,France,72229723,69471442,2758281,"%3,97"
3,Amsterdam Airport Schiphol,Amsterdam,Netherlands,71053157,68515425,2537732,"%3,70"
4,Frankfurt am Main Airport,Frankfurt,Germany,69510269,64500386,5009883,"%7,77"
5,Istanbul Atatürk Airport,Istanbul,Turkey,67981446,63727448,4253998,"%6,68"
6,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,57891340,53402506,4488834,"%8,41"
7,Barcelona–El Prat Josep Tarradellas Airport,Barcelona,Spain,50172457,47284500,2887957,"%6,11"
8,Munich Airport,Munich,Germany,46253623,44577241,1676382,"%3,76"
9,Gatwick Airport,London,United Kingdom,46086089,45556899,529190,"%1,16"
10,Sheremetyevo International Airport,Moscow,Russia,45348150,39641443,5706707,"%14,40"
11,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,42995119,40971881,2023238,"%4,94"
12,Orly Airport,Paris,France,33120685,32042475,1078210,"%3,36"
13,Dublin Airport,Dublin,Ireland,31497526,29582321,1915205,"%6,47"
14,Zurich Airport,Zürich,Switzerland,31113488,29396094,1717394,"%5,84"
15,Copenhagen Airport,Copenhagen,Denmark,30298531,29177833,1120698,"%3,84"
16,Domodedovo International Airport,Moscow,Russia,29403704,30657854,-1254150,"-%4,09"
17,Palma de Mallorca Airport,Palma de Mallorca,Spain,29081787,27970655,1111132,"%3,97"
18,Lisbon Airport,Lisbon,Portugal,29031268,26646079,2385189,"%8,95"
19,Oslo Airport,Oslo,Norway,28518584,27482486,1036098,"%3,77"
20,Manchester Airport,Manchester,United Kingdom,28292797,27826054,466743,"%1,68"
21,London Stansted Airport,London,United Kingdom,27996116,25904450,2091666,"%8,07"
22,Vienna International Airport,Vienna,Austria,27037292,24392805,2644487,"%10,84"
23,Stockholm Arlanda Airport,Stockholm,Sweden,26845419,26623606,221813,"%0,83"
24,Brussels Airport,Brussels,Belgium,25675939,24783911,892028,"%3,60"
25,Malpensa Airport,Milan,Italy,24725490,22169167,2556323,"%11,53"
26,Düsseldorf Airport,Düsseldorf,Germany,24283967,24640564,-356597,"-%1,45"
27,Athens International Airport,Athens,Greece,24135736,21737787,2397949,"%11,03"
28,Berlin Tegel Airport,Berlin,Germany,22000430,20460688,1539742,"%7,53"
29,Vnukovo International Airport,Moscow,Russia,21478486,18138865,3339621,"%18,41"
30,Helsinki Airport,Helsinki,Finland,20848838,18892386,1956452,"%10,36"
31,Málaga Airport,Málaga,Spain,19021704,18628876,392828,"%2,11"
32,Pulkovo Airport,Saint Petersburg,Russia,18123064,16125520,1997544,"%12,39"
33,Warsaw Chopin Airport,Warsaw,Poland,17755542,15730330,2025212,"%12,87"
34,Geneva Airport,Geneva,Switzerland,17677035,17351816,325219,"%1,87"
35,Hamburg Airport,Hamburg,Germany,17234229,17622997,-388768,"-%2,21"
36,Václav Havel Airport Prague,Prague,Czech Republic,16797006,15415001,1382005,"%8,97"
37,Luton Airport,London,United Kingdom,16769634,15990276,779358,"%4,87"
38,Budapest Ferenc Liszt International Airport,Budapest,Hungary,14867491,13097239,1770252,"%13,52"
39,Edinburgh Airport,Edinburgh,United Kingdom,14294305,13410343,883962,"%6,59"
40,Alicante Airport,Alicante,Spain,13981320,13713061,268259,"%1,96"
41,Nice Côte d'Azur Airport,Nice,France,13850561,13304782,545779,"%4,10"
42,Henri Coandă International Airport,Bucharest,Romania,13820428,12804191,1016237,"%7,94"
43,Cologne Bonn Airport,Cologne/Bonn,Germany,12957828,12384223,573605,"%4,63"
44,Orio al Serio International Airport,Milan/Bergamo,Italy,12938572,12336137,602435,"%4,88"
45,Berlin Schönefeld Airport,Berlin,Germany,12725937,12865312,-139375,"-%1,08"
46,Boryspil International Airport,Kyiv,Ukraine,12602933,10554757,2048176,"%19,41"
47,Birmingham Airport,Birmingham,United Kingdom,12457051,12990303,-533252,"-%4,11"
48,Porto Airport,Porto,Portugal,11939562,10787630,1151932,"%10,68"
49,Stuttgart Airport,Stuttgart,Germany,11798090,10962247,835843,"%7,62"
50,Venice Marco Polo Airport,Venice,Italy,11184608,10371380,813228,"%7,84"
51,Lyon–Saint-Exupéry Airport,Lyon,France,11037410,10280192,757218,"%7,37"
52,Catania-Fontanarossa Airport,Catania,Italy,9933318,9120913,812405,"%8,91"
53,Naples Airport,Naples,Italy,9932029,8577507,1354522,"%15,79"
54,Keflavík International Airport,Reykjavík,Iceland,9804388,8755352,1049036,"%11,98"
55,Glasgow Airport,Glasgow,United Kingdom,9656227,9897959,-241732,"-%2,44"
56,Toulouse–Blagnac Airport,Toulouse,France,9630308,9264613,365695,"%3,95"
57,Marseille Provence Airport,Marseille,France,9390371,9002086,388285,"%4,31"
58,Linate Airport,Milan,Italy,9233475,9548363,-314888,"-%3,30"
59,Bristol Airport,Bristol,United Kingdom,8699529,8239250,460279,"%5,59"
60,Faro Airport,Faro,Portugal,8685571,8727132,-41561,"-%0,48"
61,EuroAirport Basel Mulhouse Freiburg,Basel/Mulhouse/Freiburg im Breisgau,France  Switzerland,8573705,7888725,684980,"%8,68"
62,Bologna Guglielmo Marconi Airport,Bologna,Italy,8506658,8198156,308502,"%3,76"
63,Ibiza Airport,Ibiza,Spain,8104316,7903892,200424,"%2,54"
64,Brussels South Charleroi Airport,Charleroi,Belgium,8029680,7698767,330913,"%4,30"
65,Heraklion International Airport,Heraklion,Greece,7974887,7336783,638104,"%8,70"
66,Valencia Airport,Valencia,Spain,7769867,6745394,1024473,"%15,19"
67,Riga International Airport,Riga,Latvia,7056099,6097765,958334,"%15,72"
68,Sofia Airport,Sofia,Bulgaria,6962040,6490096,471944,"%7,27"
69,Malta International Airport,Malta,Malta,6808177,6014548,793629,"%13,20"
70,Göteborg Landvetter Airport,Gothenburg,Sweden,6807976,6751571,56405,"%0,84"
71,Bordeaux – Mérignac Airport,Bordeaux,France,6799572,6223414,576158,"%9,26"
72,Kraków John Paul II International Airport,Kraków,Poland,6769369,5835189,934180,"%16,01"
73,Falcone–Borsellino Airport,Palermo,Italy,6628558,5775274,853284,"%14,77"
74,"Thessaloniki Airport ""Macedonia""",Thessaloniki,Greece,6403396,6327174,76222,"%1,20"
75,Seville Airport,Seville,Spain,6380465,5108807,1271658,"%24,89"
76,Langenhagen Airport,Hanover,Germany,6324634,5870104,454530,"%7,74"
77,"Bergen Airport, Flesland",Bergen,Norway,6306623,6113452,193171,"%3,16"
78,Belfast International Airport,Belfast,United Kingdom,6268960,5836735,432225,"%7,41"
79,Eindhoven Airport,Eindhoven,Netherlands,6237755,5701220,536535,"%9,41"
80,Nantes Atlantique Airport,Nantes,France,6199181,5489087,710094,"%12,94"
