Rank2018,Airport,City served,Country,Passengers2018,Passengers2017,Change 2018-2017-Num,Change 2018-2017-%
81,Ciampino Airport,Rome,Italy,5839737,5885812,-46075,"-%0,78"
82,Belgrade Nikola Tesla Airport,Belgrade,Serbia,5641105,5343420,297685,"%5,57"
83,Bilbao Airport,Bilbao,Spain,5469453,4973712,495741,"%9,97"
84,Galileo Galilei Airport,Pisa,Italy,5463090,5233118,229972,"%4,39"
85,Newcastle Airport,Newcastle upon Tyne,United Kingdom,5334095,5300274,33821,"%0,64"
86,Rhodes International Airport,Rhodes,Greece,5245810,5231159,14651,"%0,28"
87,Simferopol International Airport,Simferopol,Russia[note 1],5146095,5128743,17352,"%0,34"
88,Liverpool John Lennon Airport,Liverpool,United Kingdom,5046995,4901157,145838,"%2,98"
89,Bari Airport,Bari,Italy,5030760,4686016,344744,"%7,36"
90,Gdańsk Lech Wałęsa Airport,Gdańsk,Poland,4980647,4611714,368933,"%8,00"
91,Vilnius Airport,Vilnius,Lithuania,4922949,3761837,1161112,"%30,87"
92,East Midlands Airport,Derby/Leicester/Nottingham,United Kingdom,4873831,4878781,-4950,"-%0,10"
93,Katowice Airport,Katowice,Poland,4838149,3892941,945208,"%24,28"
94,London City Airport,London,United Kingdom,4820292,4530439,289853,"%6,40"
95,Minsk National Airport,Minsk,Belarus,4536618,4114512,422106,"%10,26"
96,Nuremberg Airport,Nuremberg,Germany,4466864,4186961,279903,"%6,69"
97,Trondheim Airport Værnes,Trondheim,Norway,4441791,4428897,12894,"%0,29"
98,Cagliari Elmas Airport,Cagliari,Italy,4370014,4157612,212402,"%5,11"
99,Stavanger Airport Sola,Stavanger,Norway,4262476,4178241,84235,"%2,02"
100,Krasnodar International Airport[note 2],Krasnodar,Russia,4160053,3494987,665066,"%19,03"
