"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"l8z1","ELAY CAFE","Tom Yum","4.7","(100+)","Cyberjaya",""
"pw60","Burger Anak Mamu (Jalan Putra Perdana)","Burgers","3.7","(4)","Cyberjaya",""
"ei6l","Smashed Burger by Sugar Absolute","Burgers","5","(34)","Cyberjaya",""
"jx6l","Roti John & Burger Tabur @ A&N Cafe","Malaysian","4.8","(37)","Cyberjaya",""
"v9wc","Noodles - Rasa Alamanda","Noodles","4.8","(100+)","Cyberjaya",""
"u9go","Western - Rasa Alamanda","Chicken Chop","4.7","(82)","Cyberjaya",""
"u4gw","Dapur Penyet - Rasa Alamanda","Chicken","4.6","(100+)","Cyberjaya",""
"g4ow","Wafflestop - Rasa Alamanda","Pancakes & Waffles","4.7","(31)","Cyberjaya",""
"k6sr","Thai Cuisine - Rasa Alamanda","Fried Rice","4.6","(100+)","Cyberjaya",""
"zm5f","Warung Che Mat Fu","Malaysian","4.1","(95)","Cyberjaya",""
"e2kq","Deli Sushi (Wangsa Walk)","Japanese","4.2","(100+)","Cyberjaya",""
