"url","name","Price","listedOn","favorites","numberOfReviews"
"https://www.etsy.com/listing/1047101265/teepee-with-frills-and-mat-circus-gift?click_key=95ce0da005eb19954ee676d56f0851921546398f%3A1047101265&click_sum=bd54948c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-5-4&pro=1","Teepee with Frills and mat ""Circus"", Gift for kids, Teepee tent for kids, High quality, Handmade, Kids room, Baby room","$268.98","Nov 15, 2023","62",
"https://www.etsy.com/listing/1146920933/pacifier-clip-personalized-pacifier?click_key=8e540704eb6be040a30a8d62199eed299873e8e7%3A1146920933&click_sum=76c259b7&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-6-4&sts=1","Pacifier Clip Personalized, Pacifier Holder, Binky Clip, Baby boy gift, Baby girl gift, Coming Home gift, Rattle Ring Personalized","$14.99+","Feb 11, 2024","20079","3830"
"https://www.etsy.com/listing/1402352737/babie-feet-heart-svg-newborn-heart-feet?click_key=b16cef6743ce4ec18206831c5cc1f6ce65a604c6%3A1402352737&click_sum=340f92d0&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-6-2&organic_search_click=1&dd=1","Babie feet heart svg | newborn heart feet svg | Newborn Foot Cricut Silhouette | Vector Cut File, New Baby Svg","$1.99","Dec 17, 2023","4",
"https://www.etsy.com/listing/837566825/fox-woodland-critter-balloon-3-feet-35?click_key=b6b48159c800ff7c41f20755504f6ddd6451f263%3A837566825&click_sum=d73402e4&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-6-1&organic_search_click=1&sts=1","Fox Woodland Critter Balloon (3 Feet), 35 Inch Giant Mylar Foil Woodland Baby Shower Animal Balloons, Zoo Birthday Party Balloons","$8.95","Jan 20, 2024","57","3"
"https://www.etsy.com/listing/1470636680/busy-board-for-toddler-activity-board?click_key=0c6f94b29c07d851834230775f5d3fa7943780cb%3A1470636680&click_sum=23218c48&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-6-3&pro=1&frs=1&bes=1&sts=1","Busy Board for Toddler, Activity Board, Toddler Gifts, Montessori Board, Wooden Sensory Board, 1st Birthday Baby Boy Gift, Baby Girl Toys","$69.98+","Feb 10, 2024","1272","129"
"https://www.etsy.com/listing/1310709987/personalized-hand-embroidered-baby-and?click_key=60850cf278cab1a98987ce1c6d4db43450dac7f6%3A1310709987&click_sum=7ac2ddb7&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-6-2&bes=1","Personalized Hand Embroidered Baby and Toddler Sweaters","$30.00+","Feb 10, 2024","1195","89"
"https://www.etsy.com/listing/1556368014/super-sale-busy-board-large-baby1th?click_key=7e6f96539bc350f5de1206c979557823411905e9%3A1556368014&click_sum=0dc104aa&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-6-1&pro=1&frs=1&cns=1","SUPER SALE Busy Board Large Baby,1th Birthday Gift,Fast Shipping,Montessori Toddler Busy Board,Busy Board Gift,Activity Board,Toddler Gift","$225.00+","Jan 20, 2024","6",
"https://www.etsy.com/listing/1522458586/personalized-sports-baby-onesie-inspired?click_key=a95509f46a539440a68f268e1f9f047b71f5392d%3A1522458586&click_sum=c7e3df63&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-7-1&organic_search_click=1&frs=1","Personalized Sports Baby Onesie Inspired by Red Sox Baseball Design","$9.99","Feb 9, 2024","8",
"https://www.etsy.com/listing/1424853165/personalized-rollneck-sweater-roll-neck?click_key=3a7dafb3bc7fb2e1448216bf6f5038ef71e5a46e%3A1424853165&click_sum=a8737bc2&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-7-2&organic_search_click=1&frs=1&sts=1","Personalized Rollneck Sweater - Roll Neck Sweater Kids - Baby Sweater Personalized - Monogrammed Childs Sweater - Gabby Girl Designs","$47.99","Jan 28, 2024","23",
"https://www.etsy.com/listing/1650307877/personalized-embroidered-name-baby?click_key=f12f2e0ff7f9d0224c2efd89790c113fbe46b789%3A1650307877&click_sum=9a544c21&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-7-4&pro=1&bes=1&sts=1","Personalized Embroidered Name baby blanket,Custom Baby Blanket,Stroller Blanket,Soft Knitted Baby Blanket,Newborn Baby Gift,baby shower Gift","$17.14+","Feb 10, 2024","1014","50"
