Rank2016,Airport,City served,Country,Passengers2016,Passengers2015,Change 2016-2015-Num,Change 2016-2015-%
84,Eindhoven Airport,Eindhoven,Netherlands,4780197,4373882,406315,"%9,29"
85,Nantes Atlantique Airport,Nantes,France,4778967,4394996,383971,"%8,74"
86,Liverpool John Lennon Airport,Liverpool,United Kingdom,4778939,4301495,477444,"%11,10"
87,East Midlands Airport,Derby / Leicester / Nottingham,United Kingdom,4653818,4450862,202956,"%4,56"
88,San Pablo Airport,Seville,Spain,4624038,4308845,315193,"%7,32"
89,Bilbao Airport,Bilbao,Spain,4588265,4277725,310540,"%7,26"
90,London City Airport,London,United Kingdom,4538913,4319301,219612,"%5,08"
91,Trondheim Airport,Trondheim,Norway,4417490,4352721,64769,"%1,49"
92,Bari Airport,Bari,Italy,4322797,3972105,350692,"%8,83"
93,Stavanger Airport,Stavanger,Norway,4193665,4499482,-305817,"-%6,80"
94,Gdańsk Lech Wałęsa Airport,Gdańsk,Poland,4004081,3706180,297901,"%8,04"
95,Beauvais Airport,Beauvais,France,3997856,4330013,-332157,"-%7,67"
96,Turin Airport,Turin,Italy,3943298,3659312,283986,"%7,76"
97,Vilnius Airport,Vilnius,Lithuania,3934891,3814001,120890,"%3,17"
98,Cagliari Airport,Cagliari,Italy,3689747,3714174,-24427,"-%0,66"
99,Leeds Bradford Airport,Leeds,United Kingdom,3612061,3446831,165230,"%4,79"
100,Nuremberg Airport,Nuremberg,Germany,3485372,3381681,103691,"%3,07"
