Rank2019,Airport,City served,Country,Passengers-2019,Passengers-2018,Change 2019-2018-Num,Change 2019-2018-%
75,Thessaloniki Airport Macedonia,Thessaloniki,Greece,6897057,6689193,207864,"%3,11"
76,Eindhoven Airport,Eindhoven,Netherlands,6780796,6237755,543041,"%8,71"
77,Göteborg Landvetter Airport,Gothenburg,Sweden,6671361,6807976,-136615,"-%2,01"
78,Linate Airport,Milan,Italy,6570984,9233475,-2662491,"-%28,84"
79,"Bergen Airport, Flesland",Bergen,Norway,6505827,6306623,199204,"%3,16"
80,Langenhagen Airport,Hanover,Germany,6301366,6324634,-23268,"-%0,37"
81,Belfast International Airport,Belfast,United Kingdom,6278374,6268953,9421,"%0,15"
82,Belgrade Nikola Tesla Airport,Belgrade,Serbia,6159000,5641105,517895,"%9,18"
83,Bilbao Airport,Bilbao,Spain,5905804,5469453,436351,"%7,98"
84,Ciampino Airport,Rome,Italy,5879496,5839737,39759,"%0,68"
85,Bari Airport,Bari,Italy,5545588,5030760,514828,"%10,23"
86,Rhodes International Airport,Rhodes,Greece,5542567,5567748,-25181,"-%0,45"
87,Galileo Galilei Airport,Pisa,Italy,5387558,5463090,-75532,"-%1,38"
88,Gdańsk Lech Wałęsa Airport,Gdańsk,Poland,5376120,4980647,395473,"%7,94"
89,Newcastle Airport,Newcastle upon Tyne,United Kingdom,5198952,5332238,-133286,"-%2,50"
90,Simferopol International Airport,Simferopol,Russia,5140000,5146095,-6095,"-%0,12"
91,London City Airport,London,United Kingdom,5122039,4820292,301747,"%6,26"
92,Minsk National Airport,Minsk,Belarus,5101766,4536618,565148,"%12,46"
93,Vilnius Airport,Vilnius,Lithuania,5004921,4922949,81972,"%1,67"
94,Liverpool John Lennon Airport,Liverpool,United Kingdom,5000176,5042312,-42136,"-%0,84"
95,Katowice Airport,Katowice,Poland,4843889,4838149,5740,"%0,12"
96,Cagliari Elmas Airport,Cagliari,Italy,4747806,4370014,377792,"%8,65"
97,East Midlands Airport,Derby/Leicester/Nottingham,United Kingdom,4674338,4873757,-199419,"-%4,09"
98,Krasnodar International Airport,Krasnodar,Russia,4630770,4160053,470717,"%11,32"
99,Luxembourg Airport,Luxembourg City,Luxembourg,4416038,4036878,379160,"%9,39"
100,Trondheim Airport Værnes,Trondheim,Norway,4381921,4441791,-59870,"-%1,35"
