Rank2017,Airport,City served,Country,Passengers2017,Passengers2016,Change 2017–2016-Num,Change 2017-2016-%
80,Nantes Atlantique Airport,Nantes,France,5489087,4778967,710120,"%14,86"
81,Belgrade Nikola Tesla Airport,Belgrade,Serbia,5343420,4924992,418428,"%8,50"
82,Newcastle Airport,Newcastle upon Tyne,United Kingdom,5300274,4807906,492368,"%10,24"
83,Galileo Galilei Airport,Pisa,Italy,5233118,4989496,243622,"%4,88"
84,Rhodes International Airport,Rhodes,Greece,5231159,4942386,288773,"%5,84"
85,Simferopol International Airport,Simferopol,Russia[note 1],5201690,5128743,72947,"%1,42"
86,San Pablo Airport,Seville,Spain,5108807,4624038,484769,"%10,48"
87,Bilbao Airport,Bilbao,Spain,4973712,4588265,385447,"%8,40"
88,Liverpool John Lennon Airport,Liverpool,United Kingdom,4896603,4778939,117664,"%2,46"
89,East Midlands Airport,Derby/Leicester/Nottingham,United Kingdom,4878781,4653818,224963,"%4,83"
90,Bari Airport,Bari,Italy,4686016,4322797,363219,"%8,40"
91,Gdańsk Lech Wałęsa Airport,Gdańsk,Poland,4611714,4004081,607633,"%15,18"
92,London City Airport,London,United Kingdom,4530439,4538813,-8374,"-%0,18"
93,Trondheim Airport Værnes,Trondheim,Norway,4428897,4417490,11407,"%0,26"
94,Nuremberg Airport,Nuremberg,Germany,4186961,3485372,701589,"%20,13"
95,Stavanger Airport Sola,Stavanger,Norway,4178241,4193665,-15424,"-%0,37"
96,Turin Airport,Turin,Italy,4176556,3950908,225648,"%5,71"
97,Cagliari Elmas Airport,Cagliari,Italy,4157612,3695045,462567,"%12,52"
98,Minsk National Airport,Minsk,Belarus,4114512,3429112,685400,"%19,99"
99,Leeds Bradford Airport,Leeds,United Kingdom,4076616,3612117,464499,"%12,86"
100,Katowice Airport,Katowice,Poland,3892941,3221261,671680,"%20,85"
